text,sentiment
ive feeling fake sense purpose,0
feel less pressured check phone gain better space concentrate important life,0
dragged lazy ass albeit cute one bed morning suddenly feel morally superior everyone else,1
following blog feel like ive gotten know real filtered version fake internet persona youd like,0
boy admitted medicine school uncle coming back fron canada next week father told happy moment,1
ill paraphrase ranted able trust anybody hurt feeling rejected etc,0
ive planned still days feel stressed point tears helpless good far outweighs bad honestly say happy moment,0
left feeling bothered long time afterwards,0
dun feel blamed,0
say couple things twice order weird context laughter mix would make audience feel like theyd missed joke,0
feeling miserable actually mum one feeling miserable,0
feel thrilled presence eyes feel belief peace sincerity,1
feel worthless useless past weeks certified stander home,0
feel one many standouts feist dare say masterpiece album reminder broke usual barrier audience performer,0
love autumn everything comes although feel getting excited christmas way early year friends including href http andthenwear,1
empowered feel superior,1
like tbt feeling nostalgic,1
motivated tired guilt making feel worthless,0
feel like train smart take easy back former self time,1
shouldve stopped feeling envious life knew still hard,0
first held scotty knew love high priced bundle joy couldnt help feeling apprehensive time come holds,0
feel dull tired blah school stuff thought important start school year,0
feel drained mentally physically really need get back better spot,0
say definitely right feel furious dont think ive threatened anyones life ever anger,0
abruptly reminded feeling agitated,0
feel really wonderful love life live,1
feel relieved finally move without single tear shed,1
feeling proud philippines ought called emerging asian tiger prime minister canada describe economy philippines definitely rising,1
feel like harry potter fan trying read casual vacancy,1
feeling thankful warm sunshine crisp autumn air bright fall colors,1
feel two girls shocked saying,1
feel depressed,0
feeling lil overwhelmed,1
actually like things clean like messy first feel rebellious,0
ill write soon cant wait hear everyone feeling pretty homesick right,0
feeling quite weepy get rid,0
lose well great loss win feel rather smug picked end unbelievable run,1
cycle ever feeling finishing manchester blackpool miles bothered ride extra mile put,0
feel bit shamed,0
feel better grateful normally good health,1
feel ugly inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely bother buy new pair,0
feeling energetic strong,1
recall ever feeling carefree,1
ive stamped old relationships feeling like distance time apart would cause people forget somehow give enough reason stop caring,1
feeling terrific morning day sickness left,1
feel like hated girls becoz good dancer,0
got shot terbutaline makes feel shaky makes heart race like drank cups coffee,0
punched work sunday sighed brunch trumpeter waldo carter said behind know exactly feel startled flinched,0
feeling cautiously optimistic dragon age mbourgon honestly yes flaws,1
feel like heartless feelingless know word daughter teenager,0
drafted post least month ago feeling quite uncertain,0
upset last days clouds clearing feeling positive,1
currently trying implement changes life already feel valuable business family,1
miss feeling like cute enough considered taken home,1
started secondary school age every night would cry lose sleep thought school next day wasnt usual feelings cant bothered school,0
feel disgusted see blood feel like faiting also people eat raw meat front,0
feel like punished feel pain time,0
feel consistently dissatisfied disengaged disinterested without zest life eat,0
feeling long couldnt decide whether liked,1
feeling severely beaten whooped beer bat looking forward unsteady feet duration show,0
feel extraordinarily lively,1
feel listless,0
feel intimidated great women family tree,0
feel scared,0
feeling lot optimistic future,1
clench corners bed feel assured,1
incredibly thankful temple blessings promises especially feeling comes either inside amazing building simply drive,1
could feel hit strange foggy wall,0
feel still wants together rebellious,0
using deborah lippmann hard rock base couple weeks seems prevent staining exceedingly well feeling brave enough try modified french tip two coats peachy pink jelly sation love first byte random black dotting tool spots,1
conducted survey quite likely many feel assaulted onel demons creators would felt walls covered eminent figures patriotic heroes epic deeds,0
think energy jobs writing always spent think sell rather pet projects truly feel invigorated,1
realised hate people feel threatened,0
feel dangerous games activities,0
feel really honoured part inaugural race sense proud local runners able show trails host event,1
got little bit help brother beginning lots lucks near end game might make feel dumb least hahaha end decide nikos worlds fate save niko save world,0
cant even pay attention feel lame watching,0
cant make proper conversation feel annoyed little things,0
feel really bothered,0
would estimate speak nepali feel intelligent speak english german feel intelligent spanish feel intelligent,1
wish could open people feel terrified reactions opinions,0
feel extremely honoured received prestigious award,1
feeling bit apprehensive dont know little note cards stand mass talent etsy,0
feel like savage eat meat wouldve eaten hand couldnt turkey,0
trying demonstrate understood feeling alarmed worried safety,0
still feel better room even though love way house feels better,1
feel totally lame idea blog today,0
lift different hurt bad day happened get mind feel bit timid,0
cant help way feel around family like pairs eyes boring back observing time,0
feel books vital aspect lives generations come type media never diminish enjoyment beings humans,1
feel lousy seem frown remember funny times turn upside,0
ive feeling little defeated maybe even looked,0
feel artist puts forth piece work even ones agree respected even sake overcoming shackles society norms,1
love dance often feel inhibited body unsure capable hyper concerned people watching opinions style feeling awkward idea supposed,0
feel rich life real online filled friends family would want live without,1
feel end run broke personal record enjoyed fog rising boardwalk sunrise sense accomplishment knowing beat mind,0
sat living room feeling sun come window cuddling gorgeous puppy cried,1
feel agitated simply irritated,0
cant help feel bioware missed opportunity,0
head relates workplace irritable someone tiny bit lower status response someone higher making feel momentarily pressured,0
feel aching gap heart,0
feel really lame,0
feel defective,0
feel threatened people believe,0
feel soul mine calling beloved,1
wish didnt feel like roommates hated half time,0
lost yarn overs done first lace project feeling pretty pleased,1
feel accepted long real pious uppity religious sake religion,1
feel need punished,0
say stressed feeling bitchy slacking toilet feel constipated,0
okay thats awful feeling falling way stop maybe thats day afraid falling,0
feel low energy thirsty,0
feel cheated wronged let spurned vine tended nursed could,0
feel artistic yearnings music know provide family couldnt gift god given would hard,1
also feel little selfish get excited hitting friends friends makes feel victorious choices,0
whilst one turn ill want people make feel better dont want think,1
ive come back work saturday going spend time playing games tidying flat bit nice feel relaxed control change,1
hurt feelings refusing listen spiteful hurtful sniping others,0
guess finality decision financial repercussions feeling doubtful,0
enjoy hearing faith stories believers sometimes stories leave feeling inadequate guilty,0
feeling quite excited get introduce newest fabulous sponsor,1
know solved anything sure would momentarily made feel less agitated sure,0
would always feel amazed impacted year olds subject,1
felt coming anything docs fault mentioned feeling irritable last appointment anything,0
legs would feel shitty miles would come around like always,0
ive never thought would feel guilty trying protect someones feelings,0
love whiff certain scent take back certain time place remind certain person make feel content nostalgic,1
soo quiet mixture sleeping well feeling bit isolated big group,0
feeling generous might let bring dog otherwise animals,1
feel helpless,0
feeling adventurous,1
felt connection need feel order love movie march said gave longing transformation,1
feeling pick artistic skills,1
feeling inspired hasnt stopped raining least week sun look like,1
even feel like learning something entertained theres even bibliography back anyway even done first one yet ive already ordered two,1
feel humiliated choose believe somehow janis sanders see words know get away abusing others,0
feel need compensate perfect jacket topper cover boobs fulfill duties,1
feeling overwhelmingly anxious went room read bible pray,0
naturally feel like better player,1
feel like pretty enough like personality boring obnoxious,0
came movie feeling like bunch learn character played came unfortunate conclusion fictional character exist,0
sad see demise feel respects far superior dvd,1
mother seriously ill admitted hospital,0
sure oft feel ignored summer planting weeding harvesting occupied hearts hands minds,0
sure feel think felt like already knew already sort accepted,1
feel like damaged goods ever burned prematurely,0
feel like doomed returns,0
see december month happiness counting days christmas feel like season jolly anymore,1
know simple feelings startled startled though understand words feeling words overtones green ink suddenly say,0
like feeling family damaged way even though mean,0
feeling lethargic although still trying get gym today almost time seems strange chilled ambience,0
feel like greedy easily pound overweight american,0
ive feeling bit messy hoping fresh look help figure better way deal,0
see feel free post photos href http facebook,1
know beginning already feeling fucked,0
feeling super pressed time day cut back amount time meditated skip altogether,1
would taken something feels weird going foreign country taking pictures places things people probably consider commonplace,0
signing prenatal yoga making effort get walks hopefully trips gym near future gain less weight feel better,1
hate feeling listless classwork,0
suppose feel little inhibited comes picking phone calling someone close anymore,0
feeling incredibly agitated today,0
feeling disheartened words late,0
feel intelligent people ones pay attention world around think issue pass judgment make decision stand,1
also feeling overwhelmed often saying old shit,1
feel peaceful around,1
think favorite activities child often telling someone feeling little unsure life direction going back childhood favorite past times holds many rich clues,0
feel ecstatic every time see new old opening credits one tree hill href http twitter,1
never worry repay feel burdened afford something always manage understand fun despite broke lot time,0
remember feeling hellip furious shooter,0
get pretty quickly makes feel like respected,1
believe says mistake feel hes sincere want sure wants,1
ive played fps games time ive left feeling like mentally emotionally dangerous thing switch important part brain play,0
feel sad,0
feeling restless quite grounded,0
feeling quite pleased fact one coupon use grocery,1
feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,0
one night,1
gained admission immediately college feel privileged ones,1
feeling treasured need remember hard treasure something lost,1
didnt let swim leave feeling defeated,0
feel lot contented lived moments trip photos,1
waiting feeling special feeling makes life easy bearable,1
understand feeling uncertain abc link,0
feel like generation men family guy suburbs midwest feel like little bit lost says heimbuch documented search midwestern hunting roots soon released book shall manly things,0
experiencing ton pain leg muscles feeling hopeless,0
know met person feel honored able come together grow closer god,1
feel strong desire know name sake ensigns,1
feel though somehow shes become less likeable,1
really feel valued,1
feel truly successful brooklyn able latch problem going breast bottle back without skipping beat,1
know feeling sincere could tolerate small trouble stand character performance sex life husband wife,1
gaining weight getting lot stronger feeling amazing,1
sure theyre right feel triumphant certainly got lot comfort way arguments went,1
dont want make blog something whine time feel like ive beaten two four something,0
usually take protein start feel lethargic,0
starting buy whole everything happens reason bit god plan feel god love theres way would torture women like weve tortured dealing fertility issues,0
written still feeling angry something happened friday seems invaded happy place recurring angry thoughts,0
could change emphasis say stella noticing feeling impatient,0
hated work everyday days next two weeks dont like jobs feel unsuccessful talk people,0
feeling generally disheartened continually plummeting tots score despite fact stats improving much,0
feel frustrated world around lies shattered walk rain body could see eyes full tears delivery system justice conceptualized courts learning hard way,0
left feeling absoloutely devastated,0
said eventually brings sugar contains said ends making feel groggy gives tummy ache also guilt feel afterwards,0
feel bit strange saying,1
suddenly feel desire press face window silently scream like doomed urbanite one myriad disaster movies always take place new york,0
last academic year closure,0
really feel like wading dangerous waters think dialog really important,0
army,0
like lot person cant help feeling less dream jobs shes sociable shes combat trainer,1
thought lot weekend watched fault stars two kids cancer made feel really weird anxious,1
feel lol,1
feel funny sometimes,1
feel wronged,0
mean beginning marks end one best months year left feeling exhausted,0
feel going strengthen divas division even talented female wrestlers gon see things shake,1
like feel pressured yet like spending time,0
feel like piece breakfast nutrition scale,1
want future years made feel amazing best friends could ever ask,1
know sad read lets women feel alone,0
kind feeling lethargic day,0
long need feel vain,0
ill happy take money ever feeling generous enough part,1
seem managed start week little bit hangover annoyingly sitting feeling groggy day,0
listen advice eating disorder actually feel better,1
hope mine goes well moment unfortunately feeling bit resentful aftermath holidays,0
feel like kid naughty,1
tell feeling quite invigorated,1
feel disturbed happens roughly everywhere,0
feeling stressed like coiled springs wasnt going end well,0
feeling bitchy unappreciated today,0
energy get angry upset anymore feel little resigned,0
love tango family sometimes especially feeling ugly awkward like outsider need something tango get know everyone milonga,0
ive made feelings people still supporting gop election cycle href http drinky lemur,1
feel defeated others feel refreshed,0
feel like successful,1
still sure reilly feels need weird,1
thinking teen years offering guidance support making feel special making feel like matter,1
feel like shouldnt even bothered,0
already feeling emotional chance say anything turns says love,0
feeling think dumb rather,0
feel like losing grip fantastic avril lavigne song pops head,1
imagine would feel hold nothing perverse know feel heat breathe moving feet tangled mine,0
find chasing needles feeling stressed entire process,0
believe weakness strong believe conqueror feel like real fake fine,0
feeling happy thankful today,1
break dream leaves feeling groggy disoriented dont like,0
feel super old,1
feeding morla started feel agitated reason,0
dont know feel unsure aout things especially people,0
feel author talented,1
ride sunday still feeling little apprehensive monday decided title lunge href http,0
cant wait feel innocent spirit,1
thanksgiving complete suspiciously moist turkey traditional stuffings final death thanksgiving look around ahhh start enjoying holidays rather feeling assaulted,0
feel exuberance upon accepted feel pain upon rejected,1
told felt treated bad made feel stupid know,0
feel appear friendly continue looking face eyes feel look sinister,1
know take care body eating well exercising getting adequate sleep feel invigorated physical mental spiritual sense,1
feeling frustrated somewhere season season ccs anime found anipike website fanfictions written ccs characters,0
cant either things end trying hardest suppress feelings makes irritable tiring,0
going cry one point could feel lump throat managed stop distracted thought getting vows right,0
feel low living high chorus post chorus outro need need need dope,0
heard song radio yesterday made feel amazed lyrics,1
feel discouraged never going get good schedule another big life change going happen,0
want feel amazed little often,1
advertising world years left nyc years ago working creative director best agencies world feeling discouraged demoralized questioning everything thought love world creativity,0
feel little skeptical got lose,0
admit feel teensiest bit envious friends live,0
feeling overwhelmed asked bqff keep house theyre ready loaded dont feel behind,1
want wonderful feel passionate career,1
feel though gush gorgeous colors produce receive farm share week,1
still feeling little hesitant plunging multitude colored pencils nonetheless,0
feel much peaceful today,1
look forward attending every class leaving feeling amazing feeling top world,1
feel happy solution,1
cycle attending lessons tutorials feeling lethargic etc etc,0
feel like itd strange least possibly offensive tell gay friend like experiment something like,1
say feel like tortured,0
feel kai take emotions feeling today,1
feel reader get confused bounces uses references earliest time period like dawn time till,0
feel pretty crappy complaining woes pregnancy,0
feel nearness beloved grandpa bishop grandpa,1
look situation feel jealous almost cant bear,0
feel really shy feelings talked felt happened trip really nervous appreciate effort say way,0
feel like redeem even though think realized distraught,0
feel burdened presence,0
think feeling generous today,1
usually wake feeling kind groggy,0
feel like successful independent woman destinys child,1
feel regretful things remember drunk,0
got say feeling little slutty,1
mentioned post colors pretty feel uncomfortable eyes,0
know sounds tad silly lovely feeling capturing moments glad people like,1
feeling rather pleased tonight,1
ive feeling disheartened young adult genre quite badly written novels one restored spirit captured heart,0
feel like barely broke kit,0
feel like rebellious year old stands doorway flicking lights depths spirit,0
feel world tragic woeful place live,0
attempted call mom talk answered phone suck fake regard feelings jolly voice told nevermind said okay couple guests walking door feed pie,1
feel popular special important,1
feel like murdering innocent brain cells thinking hard rather meaningless issues really want maximise use weekends effed army phase,1
usually start feeling anxious,0
feel lucky guest posting kristi href http www,1
hate missing practice feel like reps practice vital performance sunday,1
entered depression feeling helpless hopeless adrift betrayed disillusioned wondering could trust,0
love life feel optimistic lucky,1
needed feel energetic confident,1
sit seeing random picture colored christmas lights feel heart hurt missing much,0
know next time glass red wine tossing big ice cube feeling really rebellious may even swirl glass sniff recommend try thing,0
feel caring even insist mean,1
also feel extremely blessed marrying loving family,1
could feel safe enough,1
feel point equally important,1
feel like sweet apple,1
feel passionate arouse emotions seem things need learn something emotion tells need grow direction,1
feel like cause lot problems exactly sure sincere feelings,1
threw open windows minutes freezing shut sat back enjoyed feeling tranquility comes minutes precious minutes everything spotlessly order,1
working certain place everyday work dad would come pick one day come,0
guess since book kind bring negative feeling self longing find simon guess wont reading romance book future,1
feel thrilled able investigate personal mythology around subject,1
would call success feeling pretty depressed state clothes,0
feel unwelcome work sometimes think people might talking rel bookmark feel unwelcome work sometimes think people might talking april class url href http www,0
must say wonderful feeling makes feel submissive,0
feel numb,0
could continue feeling awful crying friends focus wronged end feeling worse,0
feel clever humorous idea memorable,1
walked away weekend feeling simply dirty like done something really harmful feeling anything overpowers feeble attempts justify actions last weekend,0
alsways feel carefree,1
blue try imagine smile even though tears pour feel loved,1
chefs friendly make feel valued,1
would also feel threatened ease private information could permeate system,0
never feel ashame humiliated life,0
fab christmas amazing new year family friends odds feel optimistic,1
cant help feel jealous professional organization good support system comfortable living situation,0
felt control hated feeling felt control hated hating hated got worse walking work haze trying curl pavement,0
feel passionate artistic settled craft,1
feel bit annoyed antsy good way,0
woke feeling pretty rotten weekend morning even though yesterday felt fine,0
feel like thats vicious circle,0
always regret makes feel crappy run knew wouldnt home showered nearly lunchtime,0
surmise made sick one many times take sitcom runs come around feeling dissatisfied stationary life without much forward motion,0
feel really low would nice someone hold cry,0
feel devastated young man,0
suppose everyone elses problems generally much worse mine feel idiotic learning deal everything,0
took minute appreciate trees around calming energy gave time feeling little bit irritable,0
elated laughing plunging back extreme misery simple exchange feels dangerous,0
feel liked talked mass effect death posts going afraid,1
feeling strange frankly bad sad,0
feeling inspired write parody piece today much bad mood,1
feel needy latley,0
always end crying feeling hurt like end world,0
still feeling strong,1
feel pity gatsby longing feels past evident,1
believe imagining would like act live front audience make feel joyful,1
think dharavi means mumbai country keep annual turnovers aside feel agitated,0
feel enraged want punch years old,0
give times feel point friendship one cant bothered,0
feel determined well mother tongue paper odd days time,1
feel lucky wife hope opportunity remind every day,1
usually tell feeling frustrated whatever reason ask help fix,0
almost feel startled,0
understand feel bit disturbed unsure point,0
often throw work maxim last week feel discouraged way move forwards offer encouragement others,0
swear mean browns fail tomorrow night make feel like idiot trusting gut feeling going lose tomorrow picking win season,1
really anything feel dumb daughter,0
feel something physically seeing problems hurt stems seems therapeutic,0
feeling quite lonely monday half term,0
becoming definitely want include revamped definition strength impulse nurture sense resonating feelings others like sympathetic string way able let life emotional,1
feel little glamorous wet brush,1
view much like little sister habit building darkest days done remarkable job lately even asking advice makes feel valued,1
cant feel complacent,1
feel like waiting wings patiently waiting distracted enough take take everything love world away destroy,0
feel dull aching sharp pain chest overwhelming emptiness,0
shrugged feeling particularly enthralled educational tour feeling guilty would prefer stay home play house,1
looked mabel morning named left breast mabel right one hazel feel weird mixture anger loss valerie wrote less month diagnosis,0
care read feel around guys feel hated,0
feel quite proud month managed get wait ten books,1
feel fucking horny,1
dont know feel thrill scared going miss,0
size afrad making feel complacent,1
professor looks like spitball friend dying cry pillow night feel dangerous tickles jealousy luring lair,0
feel needs come lets get table discussed hopefully resolved,1
know knew season learning trusting god feel peaceful calm,1
got walk rain feel triumphant nature rain boots pink rain coat,1
feel things learn course useful right,1
feel cool breeze think might cold realize still degrees humid outside,1
wan feel gorgeous body yers underneath next time fuckin alex took deep breath eyes seemed glow imagined scenario mind scene pictured many times,1
wanted feel beloved moment,1
definitely feeling fearful anything right,0
feeling energetic yesterday decided start href www,1
feel like mentioned disliked katy perry,0
ive gotten used hearing david time havent heard lot tonight stayed last night result feeling little paranoid,0
feel strange sick wake three hours seems like everything runs threes days,1
feel like mellow restive dream maker,1
feeling today youd think men beaten,0
completely sure topic narrow enough feeling apprehensive able find half sources print,0
read books feel sure one man moon least,1
want feel respected,1
feeling reluctant overwhelmed try think alternative abandoning dream,0
feel rather superior case,1
tired feel weepy,0
give flowers time feel makes wuss needy,0
feel like soda shaken turbulently flew violently container moment felt air exchanging freedom,0
think tell feel moment see looking something dumb,0
school feeling miserable end laughing reason weird,0
put forward social diktats make feel rebellious towards authority,0
feel shocked sad fact many sick people,1
feel little bit vital,1
cant feel pain feel aching ness cheek dont know long period opening mouth,0
sleep better food taste better thoughts clearer feel vigorous essence pounds body mind almost exclusively devoted thinking cigarette wanted could,1
love kim kardashion make tutorials always feel glamorous make,1
read cases sons ignoring old helpless parents feel unhappy sad,0
honest feel little strange company greatness,1
small circle feel comfortable turning days maddening,1
need remember something feel like distracted simultaneously happens,0
visited psychologist years ago really took heart said closing letting others know feel uncomfortable etc,0
forgive accepted allowed feel terrified move speak scream sleep paralysis,0
feeling slightly intimidated,0
feel others worthwhile,1
feel everything around fucked everyone around falling pieces,0
feel peaceful look,1
feel blessings thankful,1
feel ashamed youre perfectly fine granting,0
walia feels suspicious tarun bani,0
imagine daily life would look like hardly material possession name feels peaceful probably away everything find right balance,1
present two photos side side one photo remember feeling cute day,1
already feeling broke,0
feel weird scattered wonders million different things,1
feel tortured quite sure handle getting drunk non stop feel anything,0
hate shopping feel rushed hoards people,0
feel sure wouldnt gained much weight without help bipolar medications,1
get another call frantic junior file obviously refused help feeling like rude mean went like yeah sorry dont,0
feel tortured href http lawrencewashington,0
feel like life rich fulfilling know people look way live feel misplaced pity,1
apologize anyone may feel neglectful slacker mcslackerson,0
feel respected safe,1
also need remember bad overeating makes feel fullness hangover get food thats rich sugary,1
started feeling pretty good,1
tried three still feel longing came wanting child,1
rarely consider garments going put every day reason feel self assured matter put body could make clothes look excellent,1
feel feel reluctant,0
feel restless pursuits,0
hoping find peace world still feeling poetry tragic,0
swear made feel lot better,1
almost state panic feel like trusting people right,1
mean already course feel glamourous naked,1
really dont think looks blog often feel pretty safe posting layout full href http www,1
feel like boy would pretty shocked somewhere gut brain saying girl,1
gon list favorite work stuff say stuff blog feel shitty backing,0
feel particularly delighted,1
feeling quite lethargic somehow today worn lately barely time sit constantly feet originally wasnt complaining helping lose weight youre starting get poorly good move around lot,0
forgot passport realize stomach feeling funny went washroom understand actually sick,1
get feeling nellie satisfied phone rang happy leslie room,1
feel lips numb burning,0
still feel like admission like popular show puts category people kick puppies people steal ratty clothes backs dickensian orphans,1
car accident kids left feeling quite vulnerable,0
feel shitty quit job come much hand holding training willing,0
would like start asking questions feel stressed,0
god chosen help daughter become woman god intended even feel perfect,1
ill think thought theres much mess daily basis starting feel less like bit charming untidiness like episode hoarders,1
never seem get good foot feel crappy,0
fly paulo coelho feel useful,1
feel like run expend idiotic energy decided homework instead store energy social event going evening,0
get one feel like need either even things immediately giving one back make things even less even using comeback insulted,0
realizing friend talked signing certain contract,0
feel like relationship christ shaky,0
feel savage deal leave speedy clutch leave brown sugar lunch,0
know feeling plans disturbed schedules disrupted,0
went bowling david people didnt really feel like sociable called texted lisa night also texting chris time shes known life,1
guess sometimes arent aware true feelings playful kiss exposes,1
left feeling convinced another relationship damaged one handful remaining trust,1
end feeling satisfied,1
start feel happy unexpected house move comes along slows things compounded injury back shoulder really set back,1
feeling gloomy weekend,0
say without doubt certainly tend eat feeling unhappy stressed,0
feel super reassured move,1
sick feeling unimportant like nobody needs,0
making sort music feel useless,0
sure ill also feel bit nervous,0
actually found resenting song making feel weird used play guitar sing church like time music huge part life college high school,1
feel keen come china experience life new country,1
could feel gloomy london fog oppressive tropical heat even though vacation oregon,0
feeling bit jaded,0
feeling bit mellow morning,1
feel little strange chasing since disappointed brand whole,0
dont know explain well like happily bobbing along exploring abstract universe make contact something get excited happy feel satisfied like ive formed special bond whatever ive encountered,1
feel like child worthless even though passed assessments better anyone applied college education,0
knew yesterday getting cold morning feel terrible,0
feel passionate students choice reading job encourage love reading,1
used share feeling thought lovely roomates shermin joey,1
love children literature authors feel need dumb things kids,0
feel like band broke without telling fighting keep everyone together even though want part,0
spill feelings tell every pathetic detail life,0
think feeling sentimental right aaaaand tis another work day tomorrow,0
feel longing care love,1
suppose partly fault forgetting earplugs still really frustrating feel like permanently damaged apparent reason,0
feel embarrassed talk times feel small moments like favor deserve given attention,0
feeling completely mellow perfect tonight,1
help feel outraged recognize essentially children america rights,0
feel hopeless helpless paralysed,0
feel like rely entirelly gods word yet impatient wait,0
started feeling doubtful sat seat disappointed,0
feel bit confident kicking karate diagonal cuts kendo though much work remains,1
feeling petty right,0
feeling emo bitchy atm,0
could claim redeem genre leave feeling entirely frustrated point beating head wall either,0
feel lot life live delicate balance clean utter mess,1
really believe walked water stops first marathon actually think walking bad dammit feeling stubborn wanted get home needed motivated something,0
feel like positive ball inspiration,1
could feel body start shake nervous anticipation,0
feel pissed friend didnt offer soda,0
sort feel lame comparison bloggers,0
feel troubled also terrified minute partner view hundreds white jackets obtain caught surgeons evaluating area sterile clean smelling brimming numerous devices,0
feel hostile thought taking credit card,0
feel even beaten without encouragement afraid might try hide world bed feeling like already lost,0
cant help feel though perhaps perception isnt keen thought,1
woke feeling alarmed,0
feel completely listless,0
feel hadnt appeared nowhere distracted would noticed light change none would happened,0
suppose bit occasion ive become horrible annoying person feel strange,0
suspect also dealing caffeine withdrawal think figured system eating works well feel fab,1
feel perfect except constant exhaustion,1
excited new changes cause really feel like help feel like funny blogging world,1
ive struggling lately whenever feel like saying something reaction julia youre clever witty,1
feel frightened wanted document way feeling,0
feeling regretful apologise,0
feel embarrassed looking wedding dresses,0
feeling super agent even found good shooting good shooting moving truck,1
feel unimportant inadequate,0
feel pretty terrible physically today,0
start feel annoyed whole thing end ordering pizza,0
feel rushed make poor food choices start slide back towards bad habits,0
think enjoyed event made feel welcomed,1
feel like trust abused less feel like theres future,0
said recent interviews two guests next alcest album today feel glad reveal first one,1
feel dirty unamerican french,0
need get touch want want feel mention much hate people caring,1
feel afraid hold tighter faith live one day make rain,0
afraid clean nicos ears doctor showed didnt feel like could hurt,0
dunno feels completely happy real world taught struggle going thru nothing close struggle,1
feel like supporting,1
feel shes friendly nice,1
jest feel grumpy tired pre menstrual probably week fit walrus vacation summer,0
either feel like crap day try make rest day exhausted,0
feel like wine something amused,1
ended feeling really proud final product,1
wont let child cry feel loving lily little going opportunities lasted short months,1
feel like ugly monster show really lest seem weird plainly outcast,0
feel vulnerable much yesterday cant say felt strong sense self worth maybe according brown could get better accepting vulnerable imperfect aspects,0
took mini break posting pics feeling inspired lately,1
sometimes feel shy musical taste wanders towards might call techno slander,0
always loved blue angels feel privileged proud blue angel burmeister said,1
ive feeling needy lately,0
feel ungrateful petty try talk people,0
feel another clever ploy played ashraf attempt avoid beating hands pakistani fans,1
officially feeling festive,1
lulled fantasy walking hand hand remote location preferably beach sunset cliched know feeling love loving return,1
feel distressed sufficient,0
feel embarrassed others something small makes feel awkward,0
feel really disgusted pain agony,0
feel never really told much guess scared havent got anything loose,0
dont think many people get feel going menopause sure think great periods,1
didnt feel alarmed moreso feeling total welcome,0
like think true beauty comes inside loved inside definitely feel less valued loved look like,1
feel utterly depend sweet jesus carry next day hour mile conversation minute,1
know ann still feeling homesick,0
feel restless weekend heading way,0
feeling depressed anxious despondent thats seem want,0
want job permanent feel like valued,1
feel content alive motivated,1
feeling romantic towards another relative friend coworker,1
feeling lap divine mother holding soft tender arms,1
went bed one night stomach knots woke next day feeling fantastic,1
also feel like accepted open arms hearts minds thanks facilitating welcoming supportive community marie,1
say much chanel always speaks self feel chanel makes sure something every age group,1
feel virtuous made dinner tonight,1
